Id,HR,interval in seconds,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF
0,95.13515789,0.8908526320000001,0.974164,0.889935,0.09601849999999999,0.0462,0.032777799999999996,0.105342,0.105342,0.00064,0.0,0.0,
1,82.5642,0.6286,0.98048,0.629127,0.0855064,0.0404391,0.0258333,0.104875,0.104875,0.00064,0.0,0.0,
2,90.01088889,0.944938889,0.9727020000000001,0.9436570000000001,0.121277,0.058594,0.0344118,0.166643,0.166643,0.00064,0.0,0.0,
3,81.10285366,0.811531707,0.97609,0.811925,0.0498062,0.023856500000000003,0.030641,0.0265236,0.0265236,0.00064,0.0,0.0,
4,89.572,0.844261538,0.974839,0.8438260000000001,0.0507915,0.024407500000000002,0.032027,0.025992,0.025992,0.00064,0.0,0.0,
5,82.7622439,0.7994341460000001,0.97609,0.798875,0.0465797,0.034096,0.107564,0.0133766,0.0133766,0.00064,0.0,0.0,
6,76.50020513,0.8603384620000001,0.974839,0.859589,0.08265049999999999,0.0396966,0.032027,0.0785287,0.0785287,0.00064,0.0,0.0,
7,79.4745641,0.844261538,0.974839,0.8438260000000001,0.0507915,0.024407500000000002,0.032027,0.0262843,0.0262843,0.00064,0.0,0.0,
8,71.31371053,0.8859315790000001,0.974164,0.884881,0.0732777,0.041798,0.14388900000000002,0.0466887,0.0375063,0.00982242,0.0,0.0,
9,79.78866667,0.944938889,0.9727020000000001,0.9436570000000001,0.121277,0.058594,0.0344118,0.16871,0.16871,0.00064,0.0,0.0,
10,77.31936842,0.8908526320000001,0.974164,0.889935,0.09601849999999999,0.0462,0.032777799999999996,0.106706,0.106706,0.00064,0.0,0.0,
11,81.68821951,0.819458537,0.97609,0.8200500000000001,0.0715768,0.0342649,0.030641,0.060548,0.060548,0.00064,0.0,0.0,
12,86.34927273,0.7318,0.977753,0.7318,,0.0032,0.005000000000000001,,,0.00064,0.0,0.0,
13,75.45094737,0.8908526320000001,0.974164,0.889935,0.09601849999999999,0.0462,0.032777799999999996,0.111129,0.111129,0.00064,0.0,0.0,
14,85.21290909,0.7244136360000001,0.977753,0.724242,0.027682900000000003,0.0132297,0.028809500000000002,0.00668484,0.00668484,0.00064,0.0,0.0,
15,81.64029268,0.780068293,0.97609,0.779675,0.0498062,0.023856500000000003,0.030641,0.0264223,0.0264223,0.00064,0.0,0.0,
16,80.24042105,0.899405263,0.974164,0.898719,0.07349059999999999,0.0353667,0.032777799999999996,0.05909,0.05909,0.00064,0.0,0.0,
17,71.89255263,0.899405263,0.974164,0.898719,0.07349059999999999,0.0353667,0.032777799999999996,0.0566636,0.0503416,0.00696202,0.0,0.0,
18,90.772,0.6092000000000001,0.98048,0.6093310000000001,0.0261737,0.0124376,0.0258333,0.00637442,0.00637442,0.00064,0.0,0.0,
19,70.02064865,0.9233135140000001,0.973453,0.921467,0.0895406,0.0567494,0.262143,0.0772718,0.0772718,0.00064,0.0,0.0,
20,82.98311111,0.953966667,0.9727020000000001,0.9529430000000001,0.0981992,0.0474466,0.0344118,0.106619,0.106619,0.00064,0.0,0.0,
21,92.34422222,0.944938889,0.9727020000000001,0.9436570000000001,0.121277,0.058594,0.0344118,0.166206,0.166206,0.00064,0.0,0.0,
22,74.18778947,0.8908526320000001,0.974164,0.889935,0.09601849999999999,0.0462,0.032777799999999996,0.110116,0.110116,0.00064,0.0,0.0,
23,89.34852273,0.747913636,0.977753,0.7482880000000001,0.0534337,0.0345752,0.052619,0.0318836,0.0318836,0.00064,0.0,0.0,
24,70.01215385,0.893620513,0.974839,0.8928,0.0390295,0.0180797,0.0590541,0.00592776,0.00592776,0.00064,0.0,0.0,
